"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","LEAVE","ID"
"one",29218,64,0,370083,133,3,12,"very_unsat","high","no",6467
"one",43477,0,51,466218,180,0,1,"very_unsat","very_little","yes",2344
"zero",151622,50,65,875260,825,5,2,"unsat","little","no",1830
"zero",27442,37,24,367615,614,5,4,"avg","little","no",7
"zero",80845,53,0,165902,282,4,9,"sat","little","no",4511
"zero",70313,0,0,340101,392,0,5,"very_unsat","little","no",4989
"zero",32116,0,0,837781,159,1,8,"very_unsat","little","no",6271
"zero",95472,183,85,789736,367,17,1,"sat","very_high","no",8807
"zero",33576,209,32,226304,145,16,2,"very_unsat","very_high","no",1918
"one",45273,0,0,257270,187,0,14,"very_sat","very_little","no",2227
"zero",56865,70,0,342420,295,5,13,"very_unsat","little","no",6444
"zero",142998,44,33,261857,383,3,1,"very_unsat","little","no",5089
"zero",84521,47,13,374267,281,3,1,"very_unsat","high","no",8176
"zero",33191,60,23,420000,230,3,4,"very_sat","very_high","no",3547
"zero",80489,88,0,542451,264,17,15,"very_sat","little","yes",9414
"one",140078,0,18,284312,593,1,5,"avg","very_high","yes",8998
"zero",128881,47,25,200570,703,5,2,"unsat","very_little","no",3102
"zero",83525,246,53,308636,271,27,1,"unsat","very_high","no",526
"zero",24977,0,47,380315,153,0,2,"unsat","little","no",326
"one",64950,225,73,350018,142,12,2,"very_sat","little","yes",2480
"zero",83020,211,81,310469,165,12,1,"very_unsat","little","no",9718
"zero",114207,0,0,244558,451,1,15,"avg","very_high","no",890
"zero",107604,0,43,269332,708,0,2,"very_unsat","high","yes",4579
"zero",151155,206,86,897276,207,1,1,"avg","little","yes",9968
"one",123191,240,0,820467,706,11,11,"unsat","very_high","no",529
"zero",64387,69,0,291815,266,5,15,"very_sat","little","no",3096
"one",49118,169,17,437339,165,21,5,"very_unsat","very_high","no",8330
"zero",118589,0,0,418512,592,1,5,"avg","high","no",6205
"zero",119548,0,13,207371,622,0,5,"very_sat","very_high","no",7249
"zero",27812,0,12,258433,246,1,6,"avg","very_little","yes",2603
"zero",103960,207,22,602133,455,5,6,"avg","high","yes",1286
"zero",89846,67,63,595736,251,5,2,"very_sat","little","yes",8418
"zero",70421,58,0,977317,368,4,15,"unsat","very_little","no",503
"one",74233,0,0,518441,363,1,12,"very_sat","very_little","no",8963
"zero",140736,0,0,911751,843,0,13,"very_sat","very_little","yes",1116
"zero",130798,0,0,212296,625,0,10,"very_unsat","high","no",396
"zero",32285,0,7,190793,227,1,5,"very_unsat","very_high","no",6401
"zero",91102,224,0,154560,332,13,6,"very_unsat","very_high","no",970
"zero",38084,0,67,700675,754,1,1,"very_unsat","very_little","no",1885
"one",88455,235,0,701912,302,24,11,"very_sat","little","no",8995
"one",136907,225,26,190005,178,28,1,"very_sat","very_high","no",7968
"one",31495,0,23,427271,174,4,6,"very_unsat","little","no",2037
"one",49479,181,11,917220,631,21,4,"very_unsat","very_little","no",5143
"zero",31735,173,5,602730,353,17,4,"unsat","very_high","no",7392
"one",47947,78,58,253924,141,3,1,"very_sat","little","no",8656
"zero",23229,0,52,359912,230,4,4,"very_unsat","little","no",7384
"zero",143148,46,0,741594,537,3,11,"unsat","little","no",5656
"one",43744,0,13,522907,248,1,6,"unsat","very_high","yes",7148
"one",81391,0,23,260988,334,0,4,"very_unsat","little","no",4393
"zero",30545,0,0,169665,175,0,10,"very_unsat","little","no",8452
"zero",88869,44,75,225686,337,4,1,"very_unsat","avg","yes",8424
"zero",91234,76,30,557870,286,5,1,"sat","little","no",4763
"one",143850,85,22,179611,727,3,5,"very_unsat","little","no",9383
"one",87200,0,0,205107,266,1,12,"very_sat","little","no",9891
"one",112975,76,17,609950,866,4,4,"very_unsat","very_little","no",4912
"one",148790,263,89,250380,659,23,2,"sat","high","no",4119
"zero",100216,220,7,846727,820,21,5,"very_unsat","very_high","no",5443
"zero",108689,0,82,882219,750,1,2,"avg","little","no",9372
"one",117939,269,16,262537,794,15,4,"avg","very_little","no",251
"one",73994,0,0,324188,139,1,14,"very_sat","very_little","no",1917
"one",65381,200,82,992916,343,28,1,"very_unsat","high","no",1927
"one",31834,227,38,359567,310,24,2,"very_unsat","very_high","no",3250
"zero",40630,41,78,657507,389,4,1,"unsat","little","no",1046
"zero",46427,0,0,268784,610,0,10,"avg","very_little","no",5683
"zero",51662,0,0,769965,307,1,11,"very_unsat","avg","yes",2797
"one",29895,0,12,295769,148,0,2,"very_unsat","little","no",3356
"one",152564,194,0,978369,434,24,12,"very_sat","high","no",936
"one",122882,241,18,442458,787,5,6,"very_unsat","very_high","no",9403
"zero",56689,79,59,530908,369,4,1,"unsat","very_high","no",8015
"zero",157438,0,0,186584,353,1,14,"very_unsat","little","no",4606
"one",69861,52,0,162984,307,3,8,"very_sat","very_little","no",8636
"one",151628,56,55,245464,500,5,2,"avg","little","no",2853
"zero",84877,70,0,464382,307,4,5,"unsat","high","no",3297
"one",107431,0,29,236230,558,0,2,"very_unsat","little","yes",9365
"one",84440,175,20,833991,275,29,4,"unsat","very_high","yes",7810
"one",82889,76,0,180869,326,3,9,"very_sat","little","no",5204
"one",28371,171,60,255294,169,16,1,"very_sat","little","no",2438
"one",71567,48,79,588937,317,4,1,"unsat","little","no",9148
"zero",78596,0,0,226572,622,0,11,"very_unsat","very_high","no",6719
"one",95068,197,20,859948,348,16,6,"very_sat","little","yes",6261
"zero",34278,65,0,565930,161,3,13,"very_unsat","very_little","no",5369
"one",140110,41,0,263558,470,3,1,"very_unsat","high","no",7638
"zero",153956,227,65,453273,727,10,1,"sat","little","no",3925
"one",117342,49,68,468083,773,5,5,"very_unsat","very_little","no",9195
"one",43557,226,0,406475,155,25,9,"very_unsat","little","yes",1938
"zero",40299,51,37,392487,186,4,12,"very_unsat","little","no",141
"zero",48794,0,11,621360,227,0,6,"very_unsat","little","yes",6678
"zero",149032,220,0,170436,784,16,12,"unsat","very_high","no",7637
"zero",154189,68,0,658926,286,27,15,"very_sat","high","no",7243
"zero",42242,0,47,779579,171,0,2,"very_unsat","very_little","no",3008
"one",89523,0,19,455468,368,0,6,"very_sat","little","yes",91
"zero",71851,64,0,355178,361,4,12,"avg","little","yes",5240
"one",124336,0,0,459136,587,5,15,"very_unsat","very_high","no",4248
"one",136735,0,5,454019,784,1,6,"very_unsat","little","no",2759
"zero",83886,0,52,462926,269,1,2,"unsat","very_little","yes",8844
"one",44386,47,16,641878,147,3,6,"very_sat","very_little","yes",8972
"zero",61191,180,0,190915,302,10,10,"very_sat","very_little","yes",2066
"one",137220,0,12,288310,481,1,5,"very_unsat","little","yes",3357
"zero",122158,0,17,152952,414,0,4,"very_sat","very_little","no",8131
"one",21881,84,0,330826,151,4,15,"unsat","little","no",5106
"one",113368,66,81,954773,424,5,1,"very_sat","little","no",3215
"one",24551,53,0,937949,178,4,9,"very_unsat","little","no",9800
"zero",144247,50,0,284335,646,5,10,"very_sat","little","no",6115
"zero",81694,0,24,846335,317,0,5,"very_sat","very_little","no",5560
"zero",106588,82,15,457094,735,5,4,"very_sat","little","no",6365
"one",102148,0,73,188449,743,1,1,"very_sat","very_little","yes",4469
"zero",37335,0,0,466327,233,1,14,"avg","very_little","no",7499
"one",40533,221,33,511128,236,13,8,"very_unsat","very_high","no",3081
"zero",62386,0,63,525716,307,0,2,"very_sat","little","no",3720
"one",57211,184,40,217731,356,21,12,"unsat","very_high","no",3576
"zero",108724,59,0,511251,803,4,15,"avg","little","yes",2665
"one",143313,0,6,846955,771,1,2,"very_sat","little","no",858
"one",53004,81,7,751053,337,3,4,"very_unsat","little","no",5394
"one",27102,0,64,919430,224,0,9,"very_sat","high","no",3368
"zero",43058,170,0,515369,147,29,11,"unsat","avg","no",8692
"zero",149810,41,0,553209,746,4,10,"avg","little","no",3191
"zero",116139,224,51,153384,870,18,1,"avg","very_high","yes",4937
"zero",58452,165,31,643680,268,24,2,"very_unsat","very_little","no",9572
"one",64384,0,20,434452,383,1,6,"very_unsat","very_little","yes",4221
"one",158481,179,10,740817,767,24,5,"very_sat","very_little","no",6634
"zero",90558,0,0,991682,369,4,15,"very_unsat","avg","no",1665
"one",39933,233,6,890564,156,5,4,"very_unsat","high","yes",6686
"zero",121779,64,33,909147,525,3,2,"very_unsat","high","no",576
"zero",109016,197,0,221952,688,24,2,"very_sat","little","no",3132
"zero",43486,192,10,929272,183,11,12,"very_sat","very_little","yes",8444
"zero",27415,0,0,600490,462,0,13,"avg","high","no",5827
"one",119768,224,9,990030,628,20,5,"unsat","little","no",83
"zero",20681,60,34,680829,209,3,2,"very_unsat","little","no",1529
"one",63600,0,12,776992,176,1,6,"very_sat","very_high","no",8008
"zero",32837,49,0,726642,205,3,11,"very_sat","very_high","no",7064
"one",23353,203,0,539958,157,13,13,"very_sat","high","no",3317
"zero",103355,64,13,360553,517,3,4,"very_sat","high","yes",9531
"zero",49108,209,0,418364,229,1,10,"very_unsat","little","no",7076
"zero",31181,151,10,415951,198,28,4,"very_unsat","very_high","yes",544
"zero",53398,61,89,518914,271,5,1,"very_sat","very_little","no",8540
"one",100980,0,15,599105,716,1,4,"avg","very_little","no",4719
"one",118048,187,11,935424,138,15,6,"very_sat","little","no",2799
"one",64202,157,0,451233,345,27,15,"unsat","very_little","no",9213
"one",53523,204,75,349788,330,27,2,"very_sat","little","no",9198
"one",32759,0,56,516905,215,1,2,"very_unsat","very_little","no",2704
"one",135707,0,11,542176,684,23,4,"very_unsat","very_high","yes",7714
"zero",21400,76,0,579513,166,4,14,"very_unsat","little","yes",5081
"zero",34722,47,42,420046,171,3,6,"very_sat","avg","yes",2472
"zero",124667,0,20,943923,823,0,5,"very_sat","very_high","yes",2921
"zero",91822,0,10,245097,370,0,4,"unsat","very_high","yes",1735
"zero",85652,86,0,744461,308,4,10,"very_sat","very_high","no",2830
"one",142422,179,13,579963,773,28,5,"very_sat","very_high","no",9245
"one",62654,42,7,988953,261,5,5,"unsat","very_high","no",7400
"zero",128696,0,30,985933,703,4,1,"avg","avg","no",273
"zero",98077,69,0,283955,297,4,14,"unsat","very_little","no",6056
"one",75666,201,51,174305,252,28,2,"very_sat","very_high","no",2335
"one",112939,213,0,206983,494,26,13,"very_sat","little","no",8269
"zero",31038,175,21,301118,229,21,5,"very_unsat","avg","no",80
"one",125614,0,82,172512,673,1,1,"unsat","high","no",2474
"one",41185,0,0,515357,183,0,10,"very_unsat","high","no",5945
"one",118971,52,0,235969,488,3,11,"unsat","very_little","no",8029
"one",112048,68,74,224364,262,5,2,"avg","high","yes",7080
"one",52768,0,28,493326,367,4,2,"very_unsat","very_high","yes",5876
"zero",84590,207,0,222182,357,21,15,"unsat","avg","no",1006
"one",150842,0,8,737407,689,0,6,"very_sat","very_high","yes",2772
"one",75628,0,17,596822,812,0,5,"very_unsat","very_high","no",6888
"one",121249,0,0,895834,832,0,14,"unsat","very_high","no",8531
"one",151311,0,0,294544,820,0,14,"very_sat","very_high","no",4418
"zero",47519,0,57,521939,230,1,2,"unsat","little","yes",1754
"zero",41693,205,8,175910,161,3,4,"very_sat","little","yes",3998
"zero",116068,217,0,908278,599,11,14,"very_sat","high","no",6523
"one",36585,0,43,344581,537,0,1,"avg","very_high","no",419
"zero",31436,0,26,470320,245,0,14,"very_sat","high","no",8788
"zero",130522,71,0,211856,474,4,9,"very_unsat","little","no",5295
"zero",44233,152,76,863558,176,27,9,"very_unsat","little","no",7233
"zero",44872,0,0,453557,240,1,15,"very_sat","little","yes",498
"one",89972,47,6,775792,343,11,4,"very_sat","very_little","no",7043
"zero",21270,204,57,244053,235,25,2,"very_sat","very_high","yes",7807
"zero",43574,0,13,517019,140,24,6,"very_sat","little","no",3980
"zero",34719,0,59,162738,161,0,2,"very_sat","little","yes",1686
"one",70982,170,5,699124,313,17,6,"unsat","little","no",8673
"one",63334,69,16,845357,393,4,5,"very_sat","little","yes",8197
"zero",38749,197,5,408414,239,20,6,"unsat","very_little","no",9352
"zero",38779,212,31,177816,183,17,2,"very_unsat","very_little","no",1969
"zero",97260,0,0,695377,335,14,13,"very_sat","little","no",7682
"zero",155336,236,12,707430,468,3,6,"avg","little","no",1694
"one",26532,57,0,989018,131,4,9,"very_unsat","very_little","no",467
"zero",157971,48,0,825984,411,3,12,"very_sat","very_little","yes",5743
"zero",107049,0,66,190502,250,1,1,"very_sat","little","no",6381
"zero",25350,238,44,712470,206,13,1,"very_unsat","little","no",2195
"zero",151441,227,0,233403,713,23,9,"sat","little","no",7302
"one",126287,193,14,293102,564,15,6,"very_sat","avg","no",6408
"zero",27796,0,24,300622,179,0,4,"very_unsat","little","yes",3963
"one",159370,205,73,924536,847,13,2,"avg","little","no",1804
"zero",112420,0,0,163547,512,0,13,"very_unsat","very_little","no",2756
"one",147289,168,37,183605,539,28,2,"very_sat","very_high","no",6748
"one",34976,0,0,468471,150,0,12,"very_unsat","very_little","no",4490
"one",130426,60,61,999018,223,28,1,"avg","very_little","no",4488
"zero",69483,233,7,659531,267,19,4,"unsat","high","yes",833
"zero",76483,219,22,563402,140,29,5,"very_unsat","little","no",9336
"one",34735,218,11,555407,205,16,5,"very_unsat","avg","no",1472
"one",24173,95,34,184018,173,5,2,"very_sat","high","yes",5787
"one",22850,46,19,216776,150,5,4,"very_sat","little","yes",1130
"zero",116280,70,12,586432,811,4,5,"very_unsat","avg","no",1407
"one",31965,68,28,493149,202,3,1,"sat","very_high","no",6245
"one",68051,0,78,727089,332,1,2,"very_unsat","very_little","no",2220
"zero",48611,224,53,876306,151,27,2,"avg","little","yes",519
"one",81426,0,22,759329,217,0,5,"very_sat","very_high","no",8677
"one",109047,0,12,780788,684,3,6,"unsat","little","no",4726
"zero",40535,0,12,298742,235,1,5,"avg","little","no",5520
"zero",53898,77,88,451891,282,4,2,"very_unsat","very_high","no",3780
"zero",84101,94,18,639482,311,3,5,"very_unsat","very_little","yes",4064
"one",32950,179,0,439456,217,14,4,"very_unsat","very_high","no",7909
"zero",116685,210,9,805687,800,29,2,"very_sat","very_high","no",1378
"zero",52770,0,11,296362,283,1,4,"very_sat","very_high","no",5009
"one",154164,224,73,213548,672,14,1,"unsat","high","yes",9122
"zero",26013,0,0,316547,200,0,8,"very_unsat","very_high","no",9893
"one",33996,0,48,159801,171,0,1,"very_unsat","very_little","no",3747
"one",110034,218,0,159665,420,5,14,"very_sat","avg","no",5996
"zero",42208,0,32,176344,202,0,2,"very_unsat","little","no",6240
"one",38813,49,14,202240,131,3,4,"very_sat","little","no",8475
"one",103328,290,87,501480,404,18,2,"very_unsat","very_little","no",3938
"one",105672,89,21,970223,666,5,6,"unsat","very_high","no",5967
"zero",143802,38,0,189880,406,4,13,"unsat","very_high","yes",7982
"one",154011,150,8,371611,627,29,4,"very_unsat","very_little","no",318
"zero",126752,65,48,896007,817,3,2,"very_unsat","very_high","yes",877
"one",21830,0,0,464008,477,0,15,"very_unsat","avg","no",2602
"zero",141814,224,78,249448,830,15,2,"very_unsat","very_high","no",159
"one",152206,188,0,253955,835,28,9,"sat","little","no",5437
"zero",147574,53,0,719837,610,4,10,"very_sat","very_high","yes",1784
"zero",126836,183,67,355799,672,20,2,"very_unsat","high","no",5626
"one",88034,211,0,403614,385,18,10,"very_sat","very_little","no",5429
"one",125916,44,68,259653,416,3,12,"very_unsat","little","no",8947
"one",24811,0,59,693081,225,0,2,"very_unsat","little","no",424
"one",56479,0,53,732264,371,1,1,"unsat","very_little","yes",7942
"zero",42392,61,0,350624,220,3,14,"very_sat","high","no",6595
"one",115463,0,0,188199,615,0,15,"unsat","little","no",8709
"zero",122059,234,20,315883,154,14,4,"very_sat","very_little","no",7362
"one",96348,0,0,487811,382,0,6,"very_unsat","very_little","no",8311
"one",78947,62,10,901073,359,3,5,"sat","avg","no",2822
"zero",98194,0,0,318020,396,0,10,"very_unsat","little","yes",8486
"one",130594,0,70,648209,561,1,4,"very_sat","very_high","no",5641
"zero",103413,0,18,725445,362,0,4,"very_sat","very_little","no",2286
"one",82608,179,21,528544,214,29,5,"very_unsat","high","no",5736
"zero",63101,0,18,216295,398,0,5,"very_sat","little","no",2033
"zero",43498,171,45,196261,821,15,2,"very_unsat","little","no",4313
"zero",134729,203,0,413070,532,15,15,"very_sat","very_high","no",6883
"zero",31667,0,5,287096,139,0,5,"very_sat","very_high","no",814
"one",28698,0,24,301089,249,0,2,"very_unsat","little","no",8102
"zero",25517,225,89,250979,242,15,2,"very_unsat","very_high","no",6601
"zero",126324,199,65,989682,525,20,2,"very_unsat","very_little","yes",5923
"one",129455,0,0,858054,552,0,15,"unsat","little","no",4274
"one",36724,0,11,499965,130,1,5,"unsat","very_little","yes",6570
"zero",154468,0,16,662908,834,1,5,"unsat","very_little","no",26
"one",101903,62,0,244807,417,0,13,"unsat","very_high","yes",7333
"zero",82934,68,0,806357,776,5,9,"unsat","high","no",5793
"one",63889,51,14,455011,344,5,5,"very_unsat","little","no",9636
"one",48643,51,14,273729,225,4,5,"unsat","very_little","no",8714
"zero",88191,73,0,180898,357,3,8,"very_unsat","little","yes",7009
"one",34677,67,0,567999,135,5,4,"very_unsat","very_high","no",3395
"one",147767,0,25,485107,858,0,1,"avg","little","no",830
"zero",155582,80,89,713277,646,5,2,"avg","very_little","yes",4054
"zero",85452,0,0,240011,352,1,14,"very_unsat","very_little","no",1953
"zero",110515,0,21,349341,586,1,6,"very_unsat","little","no",3527
"one",64472,0,9,656899,386,1,5,"unsat","very_little","no",4167
"one",48276,52,0,925707,224,5,12,"very_unsat","high","no",4049
"one",123871,77,22,363416,315,5,5,"avg","very_high","yes",4241
"zero",123491,225,0,577018,610,14,10,"very_unsat","little","no",4439
"zero",98681,56,17,247457,336,3,6,"very_unsat","little","no",3381
"one",136880,65,32,182631,643,23,1,"very_unsat","very_high","no",3434
"zero",158820,0,0,571392,642,0,10,"avg","high","yes",9954
"one",29288,0,82,424099,199,0,1,"unsat","high","no",5719
"zero",91149,98,70,154359,375,5,1,"avg","high","no",983
"zero",23802,205,0,884410,167,13,9,"very_unsat","very_little","yes",2095
"one",80178,78,57,186887,355,3,2,"very_sat","very_little","no",4591
"one",79946,213,24,972510,276,10,6,"sat","very_high","yes",1641
"one",128318,0,0,406499,410,1,10,"very_unsat","little","no",2021
"zero",67554,0,63,150922,370,0,1,"very_unsat","high","yes",6831
"one",112698,62,0,516918,460,4,14,"very_unsat","little","no",8365
"zero",114312,54,0,254128,402,5,12,"avg","very_high","no",7874
"zero",127428,205,0,216796,233,15,11,"very_unsat","little","yes",3534
"zero",147273,65,7,909010,861,4,5,"avg","little","no",9924
"zero",88884,260,14,540304,312,14,6,"unsat","very_high","no",2139
"zero",81714,57,0,911008,364,4,15,"very_unsat","avg","yes",1117
"zero",59777,226,8,901468,349,18,6,"very_unsat","very_little","yes",9527
"one",114065,174,11,179558,773,12,4,"very_unsat","very_little","no",6324
"zero",73015,199,0,278376,319,13,13,"very_unsat","very_high","no",6021
"one",42029,233,6,680682,197,10,6,"unsat","little","no",8265
"one",66307,195,23,561939,293,24,6,"avg","very_high","no",2492
"one",62534,0,81,408647,399,1,2,"avg","little","no",4641
"one",37015,0,11,680383,239,1,6,"unsat","very_little","no",8598
"one",98560,0,36,660066,334,0,2,"very_unsat","little","no",4173
"zero",115956,0,11,899704,710,0,5,"unsat","very_high","yes",9155
"zero",76021,167,9,975606,353,24,6,"very_unsat","little","yes",7616
"one",32324,202,12,737263,731,13,4,"very_unsat","little","no",6191
"one",25800,224,12,522679,158,19,4,"unsat","little","no",1460
"zero",44313,73,8,152565,201,5,6,"unsat","little","no",4429
"one",113576,156,0,862641,783,14,8,"very_unsat","very_high","yes",8030
"zero",50771,0,33,259019,130,0,1,"very_unsat","little","no",7712
"zero",84978,72,53,876337,356,3,2,"avg","very_little","no",8779
"one",90235,78,86,270770,366,4,1,"very_sat","very_high","yes",8738
"zero",39734,65,0,821919,136,3,11,"avg","little","yes",44
"zero",38461,194,14,980461,140,27,6,"very_unsat","little","no",1127
"one",33735,236,47,231220,227,27,1,"unsat","very_little","no",2529
"one",110963,0,73,842488,555,4,2,"very_unsat","avg","no",759
"zero",22557,60,0,375888,149,23,13,"unsat","very_high","no",5307
"zero",49521,71,54,191014,241,4,1,"unsat","avg","no",4387
"one",99515,207,0,372239,259,21,14,"avg","very_little","yes",6814
"one",27945,197,17,170683,154,12,6,"sat","avg","yes",1023
"one",149414,54,76,181305,679,3,2,"very_sat","very_high","no",3519
"one",36180,0,0,222379,290,0,15,"avg","very_high","no",7540
"one",141550,0,59,608547,521,3,8,"very_sat","very_high","no",8794
"one",49226,0,0,218563,238,23,14,"very_sat","little","no",9840
"zero",46663,43,7,982337,428,4,5,"very_sat","very_high","no",8201
"zero",21586,0,35,233494,154,1,4,"unsat","very_little","no",1728
"one",30867,75,0,927967,208,5,10,"avg","high","yes",2212
"one",115467,0,0,998084,837,1,11,"unsat","very_little","no",9084
"zero",100827,180,22,571636,559,19,4,"avg","very_little","yes",2593
"one",36464,231,23,622446,585,29,12,"very_unsat","very_high","no",5306
"one",102461,0,17,377360,760,1,5,"sat","little","no",9439
"zero",41057,43,40,351791,162,3,2,"very_sat","high","yes",1271
"zero",21108,55,22,452884,227,5,5,"very_sat","little","no",8033
"zero",119844,0,19,282245,453,1,5,"sat","little","no",4862
"one",23013,0,0,471997,152,1,10,"very_unsat","very_little","yes",9375
"zero",45182,49,0,152469,207,4,13,"very_sat","very_little","no",4539
"one",94221,199,0,995254,293,13,14,"very_sat","high","no",2893
"one",34505,93,33,266087,180,4,1,"very_unsat","very_little","no",1462
"zero",49968,0,6,287626,227,29,5,"unsat","high","yes",2918
"zero",93250,51,9,259316,273,3,6,"very_sat","very_high","no",4242
"one",105013,0,0,558868,270,1,15,"very_unsat","very_high","no",614
"zero",153404,64,0,256953,451,5,15,"very_unsat","little","no",2904
"one",95782,49,16,493308,322,3,4,"unsat","very_high","no",6224
"zero",150905,0,0,229731,713,0,13,"very_sat","little","no",6348
"one",92585,148,0,556963,299,18,10,"very_sat","very_little","no",3480
"zero",155032,181,8,615742,792,29,5,"avg","very_little","no",8043
"zero",104569,0,20,230162,501,0,4,"very_sat","avg","yes",5552
"one",148902,0,30,205617,595,1,1,"unsat","very_high","yes",3011
"one",109743,84,11,298287,252,4,5,"very_unsat","avg","no",8884
"zero",54257,0,40,642637,722,0,2,"unsat","very_little","no",5363
"one",157461,210,0,677070,633,29,8,"very_unsat","little","no",4573
"one",51331,0,0,739595,317,1,14,"unsat","very_high","no",3586
"one",20949,0,50,482071,168,0,2,"very_sat","very_little","no",2430
"one",75947,0,0,721881,393,1,14,"unsat","very_little","no",745
"one",74671,88,72,424452,367,4,2,"very_sat","little","yes",3284
"one",30327,203,22,759411,149,23,5,"very_unsat","little","no",1450
"one",92233,0,69,471421,318,0,1,"very_unsat","avg","no",1549
"one",86472,79,6,577349,317,4,4,"very_unsat","very_high","no",1921
"zero",103162,56,18,323630,747,4,5,"very_unsat","very_little","yes",1113
"zero",45250,228,66,457933,216,1,2,"very_unsat","very_high","no",1607
"one",55850,67,0,475816,487,3,13,"very_unsat","very_high","no",2279
"one",30576,163,0,683048,173,5,12,"unsat","very_high","yes",1926
"one",39847,211,0,862161,169,11,9,"avg","very_high","no",3893
"one",58830,0,0,851269,753,0,11,"avg","little","no",7006
"zero",158968,70,20,239538,745,3,6,"very_sat","little","no",4235
"zero",119335,223,64,536914,475,23,1,"unsat","little","no",4480
"one",62634,196,0,335276,398,21,11,"unsat","very_high","no",6042
"zero",71343,216,0,881039,300,15,15,"very_unsat","very_high","yes",1907
"zero",36712,52,88,261379,204,5,15,"sat","little","no",48
"zero",87439,0,9,870748,196,0,4,"unsat","very_little","no",59
"one",31937,250,16,297702,715,28,4,"avg","little","no",4279
"one",20461,0,74,563178,176,1,1,"very_unsat","little","no",8629
"zero",37177,198,0,977138,384,12,9,"very_sat","very_little","yes",5185
"zero",128987,48,73,233961,477,3,2,"very_unsat","little","yes",9118
"zero",33586,173,17,738093,170,29,4,"very_sat","little","no",2762
"one",128182,0,0,814566,558,0,14,"avg","little","no",8174
"one",30735,180,14,690233,180,29,4,"very_sat","very_little","no",5617
"zero",33437,0,83,408832,130,1,12,"sat","little","no",1391
"zero",44535,79,25,252846,244,16,1,"very_sat","very_high","no",6928
"zero",53579,0,71,324498,291,0,2,"unsat","very_high","no",355
"one",58912,227,63,867137,322,28,1,"very_unsat","high","no",6034
"zero",60608,0,23,316891,249,5,4,"very_unsat","very_high","no",2136
"zero",36488,0,24,397157,251,1,4,"sat","high","no",3580
"zero",133088,31,0,544316,405,5,14,"sat","very_high","no",5792
"one",70801,219,5,183548,328,25,6,"very_sat","avg","no",9259
"zero",71198,62,0,675518,272,4,14,"unsat","little","no",2805
"zero",51915,177,17,704806,392,23,1,"very_unsat","very_high","no",7363
"zero",90718,0,0,848993,253,1,14,"very_sat","very_little","yes",3729
"one",42815,45,5,633964,180,4,4,"very_sat","little","no",5740
"zero",39298,0,0,289655,181,1,10,"avg","high","yes",6285
"zero",78384,0,85,493974,345,1,1,"very_unsat","little","no",6809
"zero",52793,0,0,222014,367,1,11,"unsat","very_high","no",447
"zero",108180,0,0,678421,180,0,14,"very_unsat","very_little","yes",2519
"zero",68945,258,20,187552,327,23,4,"very_unsat","little","no",9487
"one",72584,0,14,371954,375,1,11,"very_unsat","little","no",1099
"one",44661,187,23,259027,177,15,4,"very_unsat","little","no",3111
"one",131320,207,0,966772,410,26,8,"very_unsat","avg","no",8507
"one",25679,65,35,154233,204,3,2,"avg","little","no",2000
"one",67839,70,0,152218,284,5,8,"very_sat","very_little","yes",7031
"one",100607,135,0,666678,144,19,14,"avg","avg","no",7594
"zero",154749,206,27,523676,652,17,1,"avg","little","no",418
"zero",148245,174,17,426099,504,1,5,"very_sat","very_little","no",5535
"one",81431,69,24,386640,370,3,5,"very_unsat","little","no",2935
"one",33389,52,76,548585,180,4,1,"unsat","very_high","no",2108
"zero",70314,0,5,366370,280,1,6,"very_sat","high","no",5570
"one",58588,0,0,439921,308,0,11,"sat","little","no",9543
"one",74583,0,0,527407,354,1,15,"very_unsat","little","no",5786
"zero",21186,45,29,186382,247,5,1,"avg","very_little","no",917
"zero",62479,38,0,226829,349,1,14,"unsat","very_high","yes",6445
"zero",66497,0,0,529941,312,0,12,"sat","very_high","yes",4824
"one",53176,247,0,722607,380,12,9,"very_unsat","very_high","no",7885
"zero",43994,90,19,254256,217,18,6,"unsat","little","yes",3360
"one",48740,45,0,766856,230,5,9,"very_sat","little","no",4845
"zero",60717,200,48,158227,258,20,2,"sat","little","no",7685
"one",36353,184,10,191211,174,5,6,"unsat","very_little","no",676
"zero",84648,62,15,550607,273,5,5,"avg","very_high","no",8754
"zero",41146,0,83,354864,169,1,1,"very_sat","avg","yes",9488
"one",35669,46,67,695404,248,0,1,"very_sat","little","no",4083
"one",66984,213,0,479545,325,20,12,"unsat","very_little","no",3608
"zero",122042,151,71,306548,493,28,2,"very_sat","high","no",3265
"zero",79790,203,16,521394,346,21,5,"very_unsat","little","no",2989
"zero",113250,224,0,213659,493,22,11,"very_unsat","high","no",4174
"one",83583,0,72,219648,279,0,2,"very_sat","little","yes",3240
"zero",70413,0,49,432092,364,0,2,"avg","little","yes",660
"one",120387,70,42,446758,560,5,5,"very_unsat","high","no",5227
"one",58692,216,64,830574,392,11,1,"very_unsat","little","no",6487
"zero",70715,175,24,533978,292,24,4,"unsat","little","no",5615
"zero",147274,0,14,365137,586,1,5,"avg","very_little","no",9457
"one",68369,66,79,223824,385,5,2,"very_unsat","little","no",7820
"zero",134219,226,20,907304,810,14,6,"very_unsat","very_little","no",3460
